"","CS(=O)(=O)[O-]","[Na+]","COC","COC(C)=O","CC(=O)[O-]","[H]N(C)C(C)=O","[H]OC(C)=O","[H]OC","[H]C(C)(OC)OC","CN(C)C","C[N+](C)(C)C","[K+]","[Cl-]","(CH2)x","P","T","y"
"217",0,0.18,0,0,0.18,0.26,0,0.06,0,0.32,0.46,0,0.9,0.51,0.1,0.02,"TRUE"
"218",0,0.64,0.51,0.43,0.64,0.47,0.51,0.06,0,0,0,0,0,0.33,0.76,0.36,"FALSE"
"219",0,0.49,0,0,0.72,0.7,0,0,0,0,0,0.62,0,0.25,0.11,0.4,"FALSE"
"220",0,0.33,0.73,0.61,0.33,0.49,0.73,0.2,0,0.61,0,0,0,0.47,0.46,0.15,"FALSE"
"221",0,0.33,0,0,0.33,0.49,0,0.53,0.42,0.6,0,0,0,0.39,0.67,0.25,"FALSE"
"222",0.77,0.91,0.21,0.41,0.74,0.42,0,0,0,0,0,0,0,0.26,0.57,0.68,"FALSE"
"223",0.71,0.32,0.93,1,0.16,0,0.74,0.09,0,0,0,0,0,0.16,0.86,0.46,"FALSE"
"224",0,0,0,0,0.3,0.45,0,0,0,0,0.88,0,0.86,0.8,1,0.73,"FALSE"
"225",0,0.27,0.61,0.51,0.27,0.4,0.61,0.17,0,0.5,0,0,0,0.33,0.45,0.32,"FALSE"
"226",0,0.18,0,0,0.18,0.27,0,0.33,0.27,0.33,0,0,0,0.05,0.3,0.29,"FALSE"
"227",0,0,1,0.84,0.32,0.48,1,0.12,0,0,0.46,0,0,0.72,0.63,0.74,"FALSE"
"228",0,0.43,0.63,0.53,0.43,0.32,0.63,0.08,0,0,0,0,0,0.19,0.75,0.68,"FALSE"
"229",0,0.59,0,0,0.59,0.44,0,0.32,0.32,0,0,0,0,0.23,0.56,0.97,"FALSE"
"230",0,0.53,0,0,0.53,0.39,0,0.33,0.33,0,0,0,0,0.2,0.16,0.55,"FALSE"
"231",0,0.61,0,0,0.61,0.46,0,0.11,0,0.57,0.43,0,0,0.54,0.71,0.49,"TRUE"
"232",0,0,0,0,0.32,0.48,0,0,0,0,0.46,0.9,0.89,0.79,0.21,0.95,"FALSE"
"233",0,0,0,0,0,0,0,0.71,0.71,0,0,0,0,0.14,0.28,0.6,"TRUE"
"234",0,0.33,0,0,0.33,0.49,0,0.45,0.34,0.6,0,0,0,0.5,0.83,0.42,"FALSE"
"235",0,0.25,0.85,0.72,0.25,0,0.85,0.1,0,0,0.36,0,0,0.43,0.29,0.15,"FALSE"
"236",0.98,0.43,0.27,0.52,0.47,0.37,0,0,0,0,0,0.7,0,0.25,0.54,0.9,"FALSE"
"237",0,0,0,0,0.65,0.97,0,0,0,0,0.42,1,0,0.65,0.23,0.78,"FALSE"
"238",0,0,0,0,0.23,0.34,0,0.3,0.3,0,0,0.64,0,0.18,0.35,0.59,"FALSE"
"239",0,0.54,0,0,0.54,0.81,0,0.19,0,1,0,0,0,0.45,0.59,0.96,"FALSE"
"240",1,0.7,0.27,0.53,0.48,0.38,0,0.09,0,0.47,0,0,0,0.33,0.08,0.75,"FALSE"
"241",0,0.35,0,0,0.35,0,0,0.25,0.25,0,0.5,0,0,0.39,0.35,0.48,"TRUE"
"242",0,0.36,0,0,0.59,0.35,0,0,0,0,0.85,0,0,0.58,0.28,0.96,"FALSE"
"243",0,0.31,0,0,0.55,0.35,0,0,0,0,0.44,0.67,0,0.42,0.37,0.04,"FALSE"
"244",0,0.34,0,0,0.61,0.91,0,0.12,0,0.63,0.39,0,0,0.65,0.8,0.81,"FALSE"
"245",0,0,0,0,0.27,0.41,0,0.35,0.35,0,0.39,0,0,0.4,0.87,0.35,"TRUE"
"246",0,0,0,0,0,0,0,0.27,0.27,0,0.49,0,0.95,0.49,0.17,0.23,"TRUE"
"247",0,0.26,0,0,0.26,0,0,0.44,0.44,0,0.38,0,0,0.31,0.83,0.17,"TRUE"
"248",0,0.26,0,0,0.26,0,0,0,0,0,0.76,0,0.75,0.57,0.96,0.1,"TRUE"
"249",0,0.26,0,0,0.51,0.76,0,0.09,0,0.47,0,0.7,0,0.36,0.64,0.6,"FALSE"
"250",0,1,0,0,1,1,0,0.12,0,0.63,0,0,0,0.72,0.7,0.09,"FALSE"
"251",0,0.97,0,0,0.97,0.95,0,0.1,0,0.55,0,0,0,0.61,0.89,0.88,"FALSE"
"252",0,0.58,0,0,0.58,0.43,0,0.1,0,0.53,0.41,0,0,0.54,0.58,0.84,"FALSE"
"253",0,0,0,0,0,0,0,0.46,0.46,0,0.32,0,0.62,0.37,0.81,0,"TRUE"
"254",0,0,0,0,0,0,0,0.25,0.25,0,0.52,0,1,0.61,1,0.09,"TRUE"
"255",0,0.47,0,0,0.47,0.35,0,0,0,0,0.41,0,0.79,0.55,0.29,0.04,"FALSE"
"256",0,0,0,0,0,0,0,0.51,0.51,0,0.4,0,0.78,0.77,0.1,0.44,"TRUE"
"257",0,0.22,0,0,0.22,0,0,0.38,0.38,0,0.31,0,0,0.29,0.85,0.28,"FALSE"
"258",0,0.51,0,0,0.51,0.38,0,0,0,0,0.5,0,0.97,0.76,0.59,0.03,"FALSE"
"259",0,0.33,0,0,0.33,0,0,0,0,0,0.8,0,0.64,0.61,0.33,0.49,"TRUE"
"260",0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,1,1,"FALSE"
"261",0,0.25,0,0,0.25,0.37,0,0.09,0,0.46,0.46,0,0.89,0.7,0.35,0.43,"FALSE"
"262",0,0.18,0,0,0.18,0.27,0,0.06,0,0.34,0.36,0,0.69,0.33,0.55,0.23,"FALSE"
"263",0,0.34,0,0,0.34,0.51,0,0.12,0,0.62,0.48,0,0.94,0.87,0.28,0.37,"FALSE"
"264",0,0,0,0,0,0,0,0.4,0.4,0,0.5,0,0.97,0.64,0.86,0.56,"TRUE"
"265",0,0,0,0,0,0,0,0.32,0.32,0,0.33,0,0.65,0.38,0.84,0.83,"FALSE"
"266",0,0,0,0,0,0,0,0.74,0.74,0,0,0,0,0.26,0.18,0.88,"FALSE"
"267",0,0.23,0,0,0.23,0,0,0,0,0,0.77,0,0.85,0.6,0.07,0.34,"TRUE"
"268",0,0.31,0,0,0.31,0,0,0.32,0.32,0,0.45,0,0,0.41,0.68,0.09,"TRUE"
"269",0,0,0,0,0,0,0,0.36,0.36,0,0.44,0,0.86,0.5,0.39,0.79,"FALSE"
"270",0,0.34,0,0,0.34,0,0,0.4,0.4,0,0.49,0,0,0.44,0.48,0.67,"FALSE"
"271",0,0.32,0,0,0.32,0.47,0,0.11,0,0.58,0.5,0,0.97,0.92,0.08,0.08,"TRUE"
"272",0,0,0,0,0.22,0.32,0,0,0,0,0.63,0,0.62,0.38,0.37,0.13,"TRUE"
"273",0,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0.25,0.51,0.31,"TRUE"
